No,Year,Material,Type,Shape,Coat/Functional Group,Synthesis_Method,Surface_Charge,Diameter (nm),Size_in_Water (nm),Size_in_Medium (nm),Zeta_in_Water (mV),Zeta_in_Medium (mV),Cell_Type,No_of_Cells (cells/well),Human_Animal,Cell_Source,Cell_Tissue,Cell_Morphology,Cell_Age,Cell Line_Primary Cell,Time (hr),Concentration (ug/ml),Test,Test_Indicator,Aspect_Ratio,Cell_Viability (%),PDI,Article_ID,DOI
1,2015,SiO2,I,Sphere,CTAB,Precipitation,Negative,NA,386.9,90.09,-35.9,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,1.95,MTT,TetrazoliumSalt,NA,113.67,NA,1,10.3109/15376516.2015.1070229
2,2015,SiO2,I,Sphere,CTAB,Precipitation,Negative,NA,386.9,90.09,-35.9,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,3.9,MTT,TetrazoliumSalt,NA,97.265,NA,1,10.3109/15376516.2015.1070229
3,2015,SiO2,I,Sphere,CTAB,Precipitation,Negative,NA,386.9,90.09,-35.9,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,7.8,MTT,TetrazoliumSalt,NA,108.73,NA,1,10.3109/15376516.2015.1070229
4,2015,SiO2,I,Sphere,CTAB,Precipitation,Negative,NA,386.9,90.09,-35.9,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,15.6,MTT,TetrazoliumSalt,NA,98.451,NA,1,10.3109/15376516.2015.1070229
5,2015,SiO2,I,Sphere,CTAB,Precipitation,Negative,NA,386.9,90.09,-35.9,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,31.2,MTT,TetrazoliumSalt,NA,98.056,NA,1,10.3109/15376516.2015.1070229
6,2015,SiO2,I,Sphere,CTAB,Precipitation,Negative,NA,386.9,90.09,-35.9,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,62.5,MTT,TetrazoliumSalt,NA,100.43,NA,1,10.3109/15376516.2015.1070229
7,2015,SiO2,I,Sphere,CTAB,Precipitation,Negative,NA,386.9,90.09,-35.9,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,125,MTT,TetrazoliumSalt,NA,95.881,NA,1,10.3109/15376516.2015.1070229
8,2015,SiO2,I,Sphere,CTAB,Precipitation,Negative,NA,386.9,90.09,-35.9,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,250,MTT,TetrazoliumSalt,NA,79.473,NA,1,10.3109/15376516.2015.1070229
9,2015,SiO2,I,Sphere,CTAB,Precipitation,Negative,NA,386.9,90.09,-35.9,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,500,MTT,TetrazoliumSalt,NA,94.893,NA,1,10.3109/15376516.2015.1070229
10,2015,SiO2,I,Sphere,CTAB,Precipitation,Negative,NA,386.9,90.09,-35.9,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,1000,MTT,TetrazoliumSalt,NA,79.275,NA,1,10.3109/15376516.2015.1070229
